Observations id,cop_lat,pair,hyb,female sp,female ID,male sp,male ID,scorer initials,dur,att_dur,att_count,att_mean,att_sd,att_por,cop_dur,cop_count,cop,cop_mean,cop_sd,cop_por,agg_count,avo_count,intro_dur,intro_count,intro_mean,intro_sd,intro_por,land_count,vib_dur,vib_count,vib_mean,vib_sd,vib_por,female_age,court,male_mass,female_mass
amerF23724xamerM23017,163.765,AA,0,amer,23724,amer,23017,NH,184.68,127.568,4,31.892,19.35,0.691,11.78,1,1,11.78,0,0.064,5,0,47.766,1,47.766,0,0.259,1,4.996,1,4.996,0,0.027,24,1,0.01801,0.03079
amerF23525xsanM23050,754.158,AS,1,amer,23525,sans,23050,LY,821.32,694.048,4,173.512,214.233,0.845,25.54,2,1,12.77,10.994,0.031,3,8,123.466,8,15.433,8.09,0.15,1,334.762,8,41.845,39.601,0.408,23,1,0.01945,0.02257
amerF23749xsanM23008,189.19,AS,1,amer,23749,sans,23008,NH,210.21,146.254,1,146.254,0,0.696,15.005,1,1,15.005,0,0.071,0,0,46.789,1,46.789,0,0.223,1,91.988,1,91.988,0,0.438,22,1,0.01647,0.02577
amerF23779xamerM23102,99.631,AA,0,amer,23779,amer,23102,NH,175.18,87.283,2,43.641,17.787,0.498,33.845,2,1,16.922,15.099,0.193,2,1,73.106,2,36.553,17.357,0.417,1,10.042,2,5.021,1.385,0.057,22,1,0.01385,0.0201
amerF23533xamerM23054,114.723,AA,0,amer,23533,amer,23054,LY,141.64,87.276,1,87.276,0,0.616,18.207,1,1,18.207,0,0.129,0,0,48.269,1,48.269,0,0.341,1,6.511,1,6.511,0,0.046,22,1,0.01518,0.02681
amerF23776xsanM23075,204.388,AS,1,amer,23776,sans,23075,NH,233.23,183.498,1,183.498,0,0.787,20.359,1,1,20.359,0,0.087,1,0,37.531,2,18.765,9.172,0.161,1,77.003,1,77.003,0,0.33,33,1,0.01709,0.02978
sanF23551xsanM23074,109.274,SS,0,sans,23551,sans,23074,LY,138.14,2.66,1,2.66,0,0.019,20.491,1,1,20.491,0,0.148,0,0,22.541,1,22.541,0,0.163,1,56.814,1,56.814,0,0.411,23,1,0.01554,0.02459
sanF23511xamerM23043,79.468,SA,1,sans,23511,amer,23043,LY,304.8,74.037,1,74.037,0,0.243,22.54,1,1,22.54,0,0.074,1,0,39.461,1,39.461,0,0.129,1,13.752,1,13.752,0,0.045,23,1,0.01401,0.02126
sanF23548xamerM23063,70.713,SA,1,sans,23548,amer,23063,LY,99.6,60.269,1,60.269,0,0.605,23.716,1,1,23.716,0,0.238,1,1,17.466,1,17.466,0,0.175,1,4.547,1,4.547,0,0.046,28,1,0.01417,0.02444
sanF23540xsanM23026,182.827,SS,0,sans,23540,sans,23026,LY,215.72,166.132,1,166.132,0,0.77,23.743,1,1,23.743,0,0.11,0,0,51.011,1,51.011,0,0.236,1,61.62,1,61.62,0,0.286,23,1,0.02129,0.0254
amerF23536xamerM23056,73.441,AA,0,amer,23536,amer,23056,NH,103.1,40.757,2,20.379,17.493,0.395,24.78,1,1,24.78,0,0.24,0,0,33.541,1,33.541,0,0.325,1,5.179,1,5.179,0,0.05,22,1,0.01178,0.01807
amerF23782xamerM23019,419.532,AA,0,amer,23782,amer,23019,NH,454.95,134.904,5,26.981,18.966,0.297,25.503,1,1,25.503,0,0.056,0,0,26.977,3,8.992,7.849,0.059,1,5.992,1,5.992,0,0.013,24,1,0.01238,0.0255
amerF23506xamerM23039,153.932,AA,0,amer,23506,amer,23039,LY,185.69,128.438,2,64.219,34.733,0.692,25.618,1,1,25.618,0,0.138,1,0,51.765,1,51.765,0,0.279,1,5.242,1,5.242,0,0.028,22,1,0.01627,0.01985
amerF23539xamerM23044,117.261,AA,0,amer,23539,amer,23044,NH,151.15,84.861,1,84.861,0,0.561,26.403,1,1,26.403,0,0.175,0,0,41.288,1,41.288,0,0.273,1,6.036,1,6.036,0,0.04,26,1,0.01548,0.03102
amerF23701xamerM23001,67.434,AA,0,amer,23701,amer,23001,LY,100.1,50.741,1,50.741,0,0.507,27.993,1,1,27.993,0,0.28,0,0,40.005,1,40.005,0,0.4,1,8.237,1,8.237,0,0.082,23,1,0.01758,0.02954
amerF23740xsanM23042,481.624,AS,1,amer,23740,sans,23042,LY,513.51,421.925,2,210.963,284.915,0.822,28.745,1,1,28.745,0,0.056,0,0,157.43,1,157.43,0,0.307,1,112.84,1,112.84,0,0.22,24,1,0.01966,0.02659
amerF23530xamerM23104,97.448,AA,0,amer,23530,amer,23104,LY,130.63,63.518,2,31.759,33.597,0.486,28.798,1,1,28.798,0,0.22,1,0,44.777,1,44.777,0,0.343,1,5.242,1,5.242,0,0.04,23,1,0.016,0.0318
amerF23542xamerM23049,105.498,AA,0,amer,23542,amer,23049,LY,139.14,92.31,1,92.31,0,0.663,29.75,1,1,29.75,0,0.214,0,0,31.784,1,31.784,0,0.228,1,6.747,1,6.747,0,0.048,24,1,0.01889,0.02564
sanF23572xamerM23106,138.661,SA,1,sans,23572,amer,23106,NH,174.67,127.782,1,127.782,0,0.732,29.877,1,1,29.877,0,0.171,0,0,89.749,1,89.749,0,0.514,1,4.25,1,4.25,0,0.024,23,1,0.01277,0.02943
amerF23721xamerM23026,48.418,AA,0,amer,23721,amer,23026,NH,93.59,40.271,1,40.271,0,0.43,31.03,1,1,31.03,0,0.332,1,0,12.531,1,12.531,0,0.134,1,4.746,1,4.746,0,0.051,22,1,0.01576,0.0253
sanF23518xamerM23024,105.253,SA,1,sans,23518,amer,23024,LY,143.14,83.563,1,83.563,0,0.584,31.231,1,1,31.231,0,0.218,0,0,77.017,1,77.017,0,0.538,1,7.039,1,7.039,0,0.049,27,1,0.01543,0.02035
amerF23770xamerM23108,106.691,AA,0,amer,23770,amer,23108,NH,143.14,82.297,1,82.297,0,0.575,32.725,1,1,32.725,0,0.229,0,0,52.506,1,52.506,0,0.367,1,6,1,6,0,0.042,23,1,0.01805,0.02562
amerF23529xamerM23048,312.469,AA,0,amer,23529,amer,23048,LY,349.85,178.804,4,44.701,47.922,0.511,32.747,1,1,32.747,0,0.094,0,2,74.056,2,37.028,39.205,0.212,1,9.583,2,4.792,5.054,0.027,22,1,0.01862,0.02444
amerF23778xamerM23008,140.687,AA,0,amer,23778,amer,23008,NH,180.68,120.746,1,120.746,0,0.668,32.992,1,1,32.992,0,0.183,0,0,51.994,1,51.994,0,0.288,1,3.506,1,3.506,0,0.019,23,1,0.0165,0.02852
sanF23609xamerM23098,83.716,SA,1,sans,23609,amer,23098,LY,167.17,59.504,2,29.752,25.114,0.356,66.316,2,1,33.158,37.331,0.397,0,1,44.501,2,22.251,21.214,0.266,1,12.019,2,6.009,1.79,0.072,23,1,0.0162,0.02032
sanF23015xamerM23042,181.342,SA,1,sans,23015,amer,23042,LY,217.22,78.124,3,26.041,15.881,0.36,33.253,1,1,33.253,0,0.153,0,0,50.608,1,50.608,0,0.233,1,6.8,1,6.8,0,0.031,22,1,0.01334,0.0251
amerF23772xamerM23054,126.721,AA,0,amer,23772,amer,23054,NH,170.17,95.518,2,47.759,24.03,0.561,33.495,1,1,33.495,0,0.197,1,0,67.528,2,33.764,21.202,0.397,1,7.505,1,7.505,0,0.044,22,1,0.01498,0.02554
amerF23765xamerM23061,59.932,AA,0,amer,23765,amer,23061,NH,98.1,40.243,1,40.243,0,0.41,33.765,1,1,33.765,0,0.344,0,0,34.004,1,34.004,0,0.347,1,6.239,1,6.239,0,0.064,23,1,0.01767,0.02433
amerF23748xamerM23016,124.434,AA,0,amer,23748,amer,23016,NH,164.16,112.279,2,56.139,4.752,0.684,33.802,1,1,33.802,0,0.206,0,0,88.498,1,88.498,0,0.539,1,7.25,1,7.25,0,0.044,27,1,0.01644,0.02937
amerF23728xamerM23021,130.801,AA,0,amer,23728,amer,23021,NH,170.67,62.62,3,20.873,24.46,0.367,34.514,1,1,34.514,0,0.202,0,0,59.06,1,59.06,0,0.346,1,4.253,1,4.253,0,0.025,23,1,0.01571,0.02796
sanF23503xamerM23011,88.16,SA,1,sans,23503,amer,23011,NH,127.13,44.496,1,44.496,0,0.35,34.996,1,1,34.996,0,0.275,0,0,38.507,1,38.507,0,0.303,1,4.018,1,4.018,0,0.032,23,1,0.01432,0.02057
amerF23746xamerM23027,167.059,AA,0,amer,23746,amer,23027,LY,206.71,161.11,1,161.11,0,0.779,35.269,1,1,35.269,0,0.171,4,0,87.647,2,43.824,25.903,0.424,1,6.5,1,6.5,0,0.031,23,1,0.01605,0.02084
amerF23534xamerM23062,149.801,AA,0,amer,23534,amer,23062,LY,189.69,128.802,1,128.802,0,0.679,36.505,1,1,36.505,0,0.192,0,0,82.787,1,82.787,0,0.436,1,6.373,1,6.373,0,0.034,22,1,0.01344,0.02618
amerF23541xamerM23047,148.956,AA,0,amer,23541,amer,23047,LY,195.2,75.011,2,37.505,37.456,0.384,37.284,1,1,37.284,0,0.191,1,0,33.75,1,33.75,0,0.173,1,6.729,1,6.729,0,0.034,22,1,0.01686,0.02251
sanF23552xamerM23029,65.702,SA,1,sans,23552,amer,23029,LY,108.61,55.516,1,55.516,0,0.511,37.304,1,1,37.304,0,0.343,0,0,29.78,1,29.78,0,0.274,1,10.5,1,10.5,0,0.097,22,1,0.01518,0.02964
amerF23543xamerM23040,84.675,AA,0,amer,23543,amer,23040,LY,125.13,58.436,2,29.218,38.945,0.467,37.55,1,1,37.55,0,0.3,1,0,59.477,1,59.477,0,0.475,1,7.781,1,7.781,0,0.062,24,1,0.01554,0.02691
amerF23513xamerM23088,99.421,AA,0,amer,23513,amer,23088,LY,140.64,44.728,1,44.728,0,0.318,37.764,1,1,37.764,0,0.269,0,0,38.499,1,38.499,0,0.274,1,6.715,1,6.715,0,0.048,22,1,0.01666,0.02732
amerF23741xamerM23008,103.236,AA,0,amer,23741,amer,23008,LY,152.65,97.794,1,97.794,0,0.641,39.016,1,1,39.016,0,0.256,0,0,74.793,1,74.793,0,0.49,1,5.99,1,5.99,0,0.039,22,1,0.0121,0.02652
sanF23604xsanM23085,386.775,SS,0,sans,23604,sans,23085,LY,432.43,241.342,5,48.268,76.7,0.558,39.777,1,1,39.777,0,0.092,1,0,73.512,1,73.512,0,0.17,1,63.317,1,63.317,0,0.146,23,1,0.01659,0.02384
sanF23537xamerM23052,139.766,SA,1,sans,23537,amer,23052,LY,191.69,113.332,1,113.332,0,0.591,40.226,1,1,40.226,0,0.21,0,0,87.518,2,43.759,41.387,0.457,1,15.299,2,7.649,2.671,0.08,30,1,0.01639,0.02808
amerF23739xamerM23107,141.726,AA,0,amer,23739,amer,23107,LY,188.19,113.842,3,37.947,26.932,0.605,40.717,1,1,40.717,0,0.216,0,0,91.072,1,91.072,0,0.484,1,7.451,1,7.451,0,0.04,30,1,0.01639,0.0363
sanF23602xsanM23028,237.153,SS,0,sans,23602,sans,23028,LY,283.28,223.965,1,223.965,0,0.791,40.746,1,1,40.746,0,0.144,0,0,80.751,1,80.751,0,0.285,1,83.454,1,83.454,0,0.295,23,1,0.01594,0.03058
amerF23708xamerM23100,92.547,AA,0,amer,23708,amer,21300,NH,139.64,68.594,4,17.148,5.264,0.491,40.956,1,1,40.956,0,0.293,3,0,48.819,1,48.819,0,0.35,1,7,1,7,0,0.05,26,1,0.01455,0.02623
sanF23590xamerM23096,93.707,SA,1,sans,23590,amer,23096,NH,142.64,72.571,1,72.571,0,0.509,41.698,1,1,41.698,0,0.292,0,0,46.719,1,46.719,0,0.328,1,5.537,1,5.537,0,0.039,23,1,0.01784,0.02688
amerF23758xsanM23091,285.892,AS,1,amer,23758,sans,23091,LY,332.33,204.889,3,68.296,57.685,0.617,42.514,1,1,42.514,0,0.128,0,0,130.662,5,26.132,38.694,0.393,1,75.057,4,18.764,19.102,0.226,24,1,0.01633,0.02132
sanF23606xamerM23067,271.852,SA,1,sans,23606,amer,23067,LY,320.82,211.679,1,211.679,0,0.66,43.882,1,1,43.882,0,0.137,3,0,150.022,8,18.753,8.072,0.468,1,59.801,8,7.475,3.906,0.186,23,1,0.01345,0.02495
sanF23519xamerM23101,104.254,SA,1,sans,23519,amer,23101,LY,152.15,53.315,1,53.315,0,0.35,44.808,1,1,44.808,0,0.294,0,0,48.538,1,48.538,0,0.319,1,9.258,1,9.258,0,0.061,22,1,0.01535,0.02059
sanF23564xamerM23006,88.705,SS,0,sans,23564,sans,23006,NH,140.14,59.057,1,59.057,0,0.421,45.004,1,1,45.004,0,0.321,0,0,32.782,1,32.782,0,0.234,1,4.494,1,4.494,0,0.032,23,1,0.01375,0.02773
amerF23520xsanM23075,261.922,AS,1,amer,23520,sans,23075,LY,308.81,175.683,3,58.561,88.133,0.569,45.011,1,1,45.011,0,0.146,0,0,41.278,1,41.278,0,0.134,1,62.239,1,62.239,0,0.202,22,1,0.01639,0.0213
amerF23775xamerM23046,88.066,AA,0,amer,23775,amer,23046,NH,137.64,53.668,1,53.668,0,0.39,45.122,1,1,45.122,0,0.328,0,0,44.27,1,44.27,0,0.322,1,5.486,1,5.486,0,0.04,22,1,0.01288,0.02264
amerF23524xamerM23066,122.513,AA,0,amer,23524,amer,23066,LY,172.67,104.073,1,104.073,0,0.603,45.26,1,1,45.26,0,0.262,0,0,76.878,1,76.878,0,0.445,1,5.993,1,5.993,0,0.035,24,1,0.01523,0.0262
sanF23566xamerM23023,261.382,SA,1,sans,23566,amer,23023,NH,310.81,79.004,7,11.286,15.456,0.254,45.502,1,1,45.502,0,0.146,1,1,123.84,5,24.768,19.069,0.398,1,14.245,1,14.245,0,0.046,22,1,0.0141,0.02732
sanF23526xsanM23044,405.906,SS,0,sans,23526,sans,23044,LY,456.96,348.495,4,87.124,68.912,0.763,46.204,1,1,46.204,0,0.101,1,3,187.414,7,26.773,23.195,0.41,1,94.09,5,18.818,21.602,0.206,23,1,0.01669,0.02916
amerF23526xsanM23091,179.611,AS,1,amer,23526,sans,23091,LY,229.73,150.895,3,50.298,37.965,0.657,46.951,1,1,46.951,0,0.204,1,0,47.751,3,15.917,17.621,0.208,1,96.16,2,48.08,13.832,0.419,22,1,0.01792,0.02361
sanF23506xamerM23041,187.191,SA,1,sans,23506,amer,23041,NH,240.24,154.164,5,30.833,40.979,0.642,47.357,1,1,47.357,0,0.197,7,3,63.561,5,12.712,10.66,0.265,1,12.038,2,6.019,1.749,0.05,25,1,0.0154,0.02698
sanF23607xamerM23013,130.783,SA,1,sans,23607,amer,23013,LY,185.69,87.311,1,87.311,0,0.47,47.494,1,1,47.494,0,0.256,0,0,47.578,1,47.578,0,0.256,1,6.761,1,6.761,0,0.036,22,1,0.01304,0.02508
amerF23558xamerM23083,80.197,SA,1,sans,23558,amer,23083,LY,139.14,56.499,1,56.499,0,0.406,48.506,1,1,48.506,0,0.349,0,0,46.497,1,46.497,0,0.334,1,10.002,1,10.002,0,0.072,22,1,0.01346,0.02669
amerF23711xamerM23020,139.039,AA,0,amer,23711,amer,23020,NH,191.69,55.063,1,55.063,0,0.287,49.015,1,1,49.015,0,0.256,0,0,59.25,3,19.75,25.257,0.309,1,5.995,1,5.995,0,0.031,26,1,0.01815,0.02794
sanF23574xsanM23099,398.006,SS,0,sans,23574,sans,23099,LY,452.45,366.021,3,122.007,116.833,0.809,49.27,1,1,49.27,0,0.109,0,1,168.005,2,84.002,97.57,0.371,1,95.511,2,47.756,15.24,0.211,23,1,0.01491,0.02204
sanF23524xamerM23053,89.972,SA,1,sans,23524,amer,23053,LY,171.67,45.5,1,45.5,0,0.265,53.328,1,1,53.328,0,0.311,0,0,30.522,1,30.522,0,0.178,1,13,1,13,0,0.076,24,1,0.01392,0.02807
sanF23593xamerM23086,137.473,SA,1,sans,23593,amer,23086,LY,196.7,128.007,1,128.007,0,0.651,56.27,1,1,56.27,0,0.286,0,0,75.318,1,75.318,0,0.383,1,6.725,1,6.725,0,0.034,24,1,0.01396,0.0194
sanF23007xsanM23090,211.98,SS,0,sans,23007,sans,23090,LY,271.27,192.253,1,192.253,0,0.709,57.779,1,1,57.779,0,0.213,0,0,72.813,2,36.407,31.221,0.268,1,94.954,2,47.477,47.697,0.35,31,1,0.01748,0.02792
sanF23605xsanM23092,177.081,SS,0,sans,23605,sans,23092,LY,247.25,154.896,1,154.896,0,0.626,63.812,1,1,63.812,0,0.258,0,0,53.825,1,53.825,0,0.218,1,53.303,1,53.303,0,0.216,23,1,0.01333,0.02853
sanF23516xsanM23074,187.104,SS,0,sans,23516,sans,23074,LY,257.26,139.432,2,69.716,26.051,0.542,64.826,1,1,64.826,0,0.252,0,1,67.098,2,33.549,17.983,0.261,1,38.75,2,19.375,26.106,0.151,25,1,0.01823,0.02484
amerF23702xamerM23072,102.698,AA,0,amer,23702,amer,23072,LY,174.17,90.516,1,90.516,0,0.52,66.725,1,1,66.725,0,0.383,0,0,56.509,1,56.509,0,0.324,1,6.488,1,6.488,0,0.037,23,1,0.01508,0.02066
sanF23529xamerM23095,104.178,SA,1,sans,23529,amer,23095,NH,178.68,90.795,1,90.795,0,0.508,67.364,1,1,67.364,0,0.377,0,0,30.207,1,30.207,0,0.169,1,4.061,1,4.061,0,0.023,35,1,0.01799,0.02783
sanF23576xamerM23060,104.263,SA,1,sans,23576,amer,23060,LY,179.18,94.804,2,47.402,8.706,0.529,70.99,1,1,70.99,0,0.396,1,0,53.053,1,53.053,0,0.296,1,6.769,1,6.769,0,0.038,22,1,0.01512,0.03163
sanF23553xamerM23071,90.437,SA,1,sans,23553,amer,23071,LY,170.17,70.24,1,70.24,0,0.413,75.135,1,1,75.135,0,0.442,0,0,58.242,2,29.121,19.988,0.342,1,10.505,2,5.253,3.898,0.062,24,1,0.01784,0.03162
sanF23584xamerM23203,79.708,SA,1,sans,23584,amer,23203,LY,171.17,59.244,2,29.622,1.584,0.346,77.716,1,1,77.716,0,0.454,1,0,43.502,2,21.751,3.183,0.254,1,6.746,1,6.746,0,0.039,26,1,0.0191,0.02945
sanF23508xamerM23025,107.01,SA,1,sans,23508,amer,23025,LY,159.159,92.314,1,92.314,0,0.58,47,1,1,47,0,0.927,0,0,59.855,1,59.855,0,0.376,1,6.958,1,6.958,0,0.044,23,1,0.01378,0.02143
